11.05.2021;Topic#1;Description#1;False;Low
01.07.2021;Topic#2;Description#2;False;Medium
09.05.2021;Topic#4;Description#4;False;Low
18.08.2021;Topic#6;Description#6;False;Low
10.02.2021;Topic#8;Description#8;False;High
23.03.2021;Topic#10;Description#10;False;High
17.08.2021;Topic#13;Description#13;False;High
12.08.2021;Topic#16;Description#16;False;Medium
08.04.2021;Topic#18;Description#18;True;High
17.06.2021;Topic#19;Description#19;False;High
13.02.2021;Topic#20;Description#20;False;Low
10.03.2021;Topic#23;Description#23;False;High
20.05.2021;Topic#24;Description#24;False;Medium
24.07.2021;Topic#25;Description#25;False;High
22.06.2021;Topic#26;Description#26;False;Medium
12.08.2021;Topic#27;Description#27;False;Low
03.10.2021;Topic#28;Description#28;False;Low
07.03.2021;Topic#29;Description#29;False;Low
23.02.2021;Topic#30;Description#30;False;Low
09.10.2021;Topic#32;Description#32;False;High
12.05.2021;Topic#33;Description#33;False;Low
13.03.2021;Topic#34;Description#34;False;Low
26.02.2021;Topic#35;Description#35;False;Medium
08.10.2021;Topic#37;Description#37;False;Low
07.11.2021;Topic#38;Description#38;False;High
07.03.2021;Topic#39;Description#39;True;High
16.08.2021;Topic#40;Description#40;False;Low
07.11.2021;Topic#42;Description#42;True;High
23.07.2021;Topic#43;Description#43;False;Low
03.12.2021;Topic#44;Description#44;False;Medium
02.11.2021;Topic#45;Description#45;False;Medium
09.10.2021;Topic#46;Description#46;False;Low
14.02.2021;Topic#47;Description#47;True;High
20.06.2021;Topic#48;Description#48;False;Medium
15.05.2021;Topic#49;Description#49;False;High
08.05.2021;Topic#50;Description#50;False;Medium
22.03.2021;Topic#51;Description#51;False;Low
11.09.2021;Topic#53;Description#53;True;Medium
09.06.2021;Topic#57;Description#57;False;Medium
18.07.2021;Topic#58;Description#58;False;Medium
27.01.2021;Topic#63;Description#63;False;High
22.01.2021;Topic#64;Description#64;False;Low
21.06.2021;Topic#65;Description#65;False;Low
10.04.2021;Topic#66;Description#66;False;Low
12.01.2021;Topic#67;Description#67;False;High
06.10.2021;Topic#69;Description#69;False;Low
07.11.2021;Topic#70;Description#70;False;Medium
14.03.2021;Topic#71;Description#71;False;Medium
15.07.2021;Topic#72;Description#72;False;Low
21.04.2021;Topic#74;Description#74;False;Medium
05.02.2021;Topic#76;Description#76;False;Medium
08.01.2021;Topic#77;Description#77;False;High
08.03.2021;Topic#78;Description#78;False;Low
26.08.2021;Topic#79;Description#79;False;High
02.12.2021;Topic#80;Description#80;False;Medium
26.01.2021;Topic#82;Description#82;False;Low
06.07.2021;Topic#83;Description#83;False;High
24.04.2021;Topic#84;Description#84;False;Low
26.01.2021;Topic#85;Description#85;False;Low
20.08.2021;Topic#86;Description#86;False;High
08.11.2021;Topic#87;Description#87;False;Medium
13.08.2021;Topic#89;Description#89;False;Medium
21.04.2021;Topic#90;Description#90;False;Low
14.06.2021;Topic#92;Description#92;False;High
21.06.2021;Topic#93;Description#93;False;High
07.08.2021;Topic#94;Description#94;False;Low
01.09.2021;Topic#95;Description#95;False;High
06.08.2021;Topic#96;Description#96;False;Medium
27.06.2021;Topic#98;Description#98;False;Low
11.07.2021;Topic#99;Description#99;False;High
26.05.2021;Topic#100;Description#100;False;Medium
